client_id,segment,invoice_amount,invoice_date,home_sales,avg_price,overnight_rate,days_to_pay,payment_date,invoice_year,invoice_month
C025,B,107879.74,2022-05-07,13500,950000,3.2,38,2022-06-14,2022,5
C038,A,39555.85,2021-03-16,17000,850000,2.45,16,2021-04-01,2021,3
C064,B,53031.99,2021-03-28,17000,850000,2.45,17,2021-04-14,2021,3
C006,A,43877.95,2020-04-27,6500,695000,2.45,27,2020-05-24,2020,4
C054,C,66312.45,2021-11-09,14500,915000,2.45,57,2022-01-05,2021,11
C072,A,54479.05,2020-09-14,15000,725000,2.45,17,2020-10-01,2020,9
C036,C,56803.42,2021-12-06,13800,920000,2.45,75,2022-02-19,2021,12
C015,A,80371.98,2022-01-15,14000,930000,2.45,27,2022-02-11,2022,1
C070,C,71694.47,2021-08-03,16000,900000,2.45,55,2021-09-27,2021,8
C079,B,58036.23,2022-03-24,15500,960000,2.65,42,2022-05-05,2022,3
C051,C,91081.1,2021-11-07,14500,915000,2.45,54,2021-12-31,2021,11
C006,A,51250.45,2021-02-23,14500,835000,2.45,18,2021-03-13,2021,2
C061,B,64823.01,2020-05-26,9000,705000,2.45,32,2020-06-27,2020,5
C004,B,43189.47,2022-04-01,14500,955000,2.95,39,2022-05-10,2022,4
C049,B,48846.92,2022-05-03,13500,950000,3.2,41,2022-06-13,2022,5
C037,B,70909.71,2021-08-18,16000,900000,2.45,32,2021-09-19,2021,8
C030,A,139519.68,2022-09-07,11000,910000,5.2625,41,2022-10-18,2022,9
C064,B,61406.33,2022-11-11,10500,890000,5.95,67,2023-01-17,2022,11
C007,A,42270.69,2021-05-07,18000,880000,2.45,16,2021-05-23,2021,5
C001,B,32922.33,2020-09-16,15000,725000,2.45,34,2020-10-20,2020,9
C061,B,144566.54,2021-03-12,17000,850000,2.45,35,2021-04-16,2021,3
C072,A,91207.67,2022-07-08,12000,930000,4.2,30,2022-08-07,2022,7
C069,A,31969.9,2020-10-24,14800,730000,2.45,22,2020-11-15,2020,10
C016,A,34603.1,2021-12-23,13800,920000,2.45,32,2022-01-24,2021,12
C036,C,106590.38,2021-02-27,14500,835000,2.45,52,2021-04-20,2021,2
C040,B,60801.75,2021-12-25,13800,920000,2.45,21,2022-01-15,2021,12
C040,B,247816.34,2020-01-17,11000,680000,3.95,64,2020-03-21,2020,1
C045,A,52283.91,2022-09-26,11000,910000,5.2625,29,2022-10-25,2022,9
C030,A,42565.72,2021-01-14,13000,820000,2.45,24,2021-02-07,2021,1
C077,B,29425.74,2022-05-11,13500,950000,3.2,54,2022-07-04,2022,5
C007,A,31305.52,2022-11-21,10500,890000,5.95,34,2022-12-25,2022,11
C029,B,65036.36,2022-01-20,14000,930000,2.45,26,2022-02-15,2022,1
C043,A,64682.78,2020-11-12,14200,735000,2.45,14,2020-11-26,2020,11
C032,A,25197.74,2022-05-18,13500,950000,3.2,29,2022-06-16,2022,5
C032,A,17535.61,2021-03-14,17000,850000,2.45,21,2021-04-04,2021,3
C012,C,94734.26,2022-10-25,10800,900000,5.45,78,2023-01-11,2022,10
C068,C,129804.53,2020-07-10,14000,715000,2.45,55,2020-09-03,2020,7
C052,B,75256.84,2022-03-20,15500,960000,2.65,58,2022-05-17,2022,3
C039,B,23101.73,2021-05-12,18000,880000,2.45,50,2021-07-01,2021,5
C012,C,74907.94,2020-03-01,12000,700000,3.325,64,2020-05-04,2020,3
C043,A,16647.64,2022-02-23,15000,945000,2.45,21,2022-03-16,2022,2
C077,B,136851.93,2020-10-16,14800,730000,2.45,43,2020-11-28,2020,10
C023,A,81847.61,2021-11-07,14500,915000,2.45,14,2021-11-21,2021,11
C069,A,66711.84,2021-07-03,16500,895000,2.45,22,2021-07-25,2021,7
C030,A,31374.47,2022-09-10,11000,910000,5.2625,38,2022-10-18,2022,9
C031,B,20491.31,2021-06-01,17800,890000,2.45,29,2021-06-30,2021,6
C051,C,39416.96,2021-10-04,15500,910000,2.45,29,2021-11-02,2021,10
C036,C,81179.38,2021-03-16,17000,850000,2.45,47,2021-05-02,2021,3
C072,A,42875.53,2022-10-03,10800,900000,5.45,28,2022-10-31,2022,10
C019,B,33364.9,2020-01-19,11000,680000,3.95,40,2020-02-28,2020,1
C025,B,97387.73,2021-10-04,15500,910000,2.45,28,2021-11-01,2021,10
C041,A,48199.74,2020-10-24,14800,730000,2.45,23,2020-11-16,2020,10
C068,C,106710.74,2021-11-28,14500,915000,2.45,70,2022-02-06,2021,11
C028,B,67131.52,2021-10-15,15500,910000,2.45,27,2021-11-11,2021,10
C032,A,99291.67,2021-04-06,17500,865000,2.45,26,2021-05-02,2021,4
C061,B,42040.74,2020-06-27,13000,710000,2.45,46,2020-08-12,2020,6
C002,C,98791.92,2021-02-26,14500,835000,2.45,50,2021-04-17,2021,2
C062,A,59623.62,2021-04-20,17500,865000,2.45,23,2021-05-13,2021,4
C010,B,58922.38,2022-07-26,12000,930000,4.2,45,2022-09-09,2022,7
C049,B,76153.25,2020-02-03,11500,690000,3.95,34,2020-03-08,2020,2
C016,A,82805.99,2022-01-04,14000,930000,2.45,21,2022-01-25,2022,1
C055,B,37886.13,2022-06-20,12500,945000,3.6,37,2022-07-27,2022,6
C018,B,54346.0,2021-01-02,13000,820000,2.45,41,2021-02-12,2021,1
C043,A,38218.63,2020-12-25,13500,740000,2.45,24,2021-01-18,2020,12
C009,B,60778.85,2020-09-11,15000,725000,2.45,34,2020-10-15,2020,9
C072,A,37335.92,2022-10-04,10800,900000,5.45,41,2022-11-14,2022,10
C075,B,107352.27,2022-08-13,11500,920000,4.7,39,2022-09-21,2022,8
C062,A,114312.26,2020-05-10,9000,705000,2.45,24,2020-06-03,2020,5
C021,B,171541.53,2022-07-15,12000,930000,4.2,33,2022-08-17,2022,7
C030,A,18722.75,2021-11-15,14500,915000,2.45,18,2021-12-03,2021,11
C022,A,55822.02,2022-03-20,15500,960000,2.65,21,2022-04-10,2022,3
C044,C,131724.76,2020-01-07,11000,680000,3.95,69,2020-03-16,2020,1
C015,A,54884.71,2022-08-26,11500,920000,4.7,33,2022-09-28,2022,8
C075,B,43121.03,2021-03-07,17000,850000,2.45,37,2021-04-13,2021,3
C071,B,48753.99,2020-01-11,11000,680000,3.95,42,2020-02-22,2020,1
C020,A,90145.91,2020-10-03,14800,730000,2.45,24,2020-10-27,2020,10
C030,A,82342.94,2021-02-03,14500,835000,2.45,20,2021-02-23,2021,2
C073,A,62832.14,2020-03-04,12000,700000,3.325,27,2020-03-31,2020,3
C035,C,26454.81,2020-12-25,13500,740000,2.45,55,2021-02-18,2020,12
C052,B,121806.61,2022-01-28,14000,930000,2.45,32,2022-03-01,2022,1
C006,A,62378.18,2021-04-07,17500,865000,2.45,26,2021-05-03,2021,4
C008,C,95565.38,2022-08-04,11500,920000,4.7,64,2022-10-07,2022,8
C045,A,58843.66,2020-08-27,14500,720000,2.45,17,2020-09-13,2020,8
C005,A,30987.84,2022-04-27,14500,955000,2.95,34,2022-05-31,2022,4
C074,C,70346.96,2020-04-03,6500,695000,2.45,57,2020-05-30,2020,4
C028,B,77711.01,2020-02-18,11500,690000,3.95,42,2020-03-31,2020,2
C018,B,62953.07,2021-09-16,15800,905000,2.45,34,2021-10-20,2021,9
C015,A,47855.54,2021-03-12,17000,850000,2.45,22,2021-04-03,2021,3
C073,A,74937.16,2022-01-14,14000,930000,2.45,25,2022-02-08,2022,1
C063,C,90932.41,2021-08-16,16000,900000,2.45,42,2021-09-27,2021,8
C010,B,89951.45,2021-07-13,16500,895000,2.45,14,2021-07-27,2021,7
C011,A,24738.73,2022-04-20,14500,955000,2.95,21,2022-05-11,2022,4
C042,B,69122.55,2020-07-28,14000,715000,2.45,47,2020-09-13,2020,7
C021,B,42078.16,2021-01-27,13000,820000,2.45,47,2021-03-15,2021,1
C057,A,50978.22,2020-06-16,13000,710000,2.45,25,2020-07-11,2020,6
C075,B,20926.1,2022-12-15,10000,880000,6.325,74,2023-02-27,2022,12
C041,A,20608.88,2021-04-02,17500,865000,2.45,25,2021-04-27,2021,4
C017,B,71873.93,2022-12-06,10000,880000,6.325,76,2023-02-20,2022,12
C016,A,61908.27,2021-02-22,14500,835000,2.45,33,2021-03-27,2021,2
C049,B,53758.68,2020-07-09,14000,715000,2.45,54,2020-09-01,2020,7
C072,A,38764.06,2022-07-07,12000,930000,4.2,32,2022-08-08,2022,7
C080,A,37046.28,2022-04-16,14500,955000,2.95,28,2022-05-14,2022,4
C002,C,103233.88,2021-03-28,17000,850000,2.45,67,2021-06-03,2021,3
C012,C,34364.02,2021-06-27,17800,890000,2.45,32,2021-07-29,2021,6
C034,C,139521.38,2022-07-02,12000,930000,4.2,89,2022-09-29,2022,7
C055,B,44723.86,2020-07-25,14000,715000,2.45,51,2020-09-14,2020,7
C073,A,25474.27,2021-10-26,15500,910000,2.45,15,2021-11-10,2021,10
C011,A,29850.91,2020-04-11,6500,695000,2.45,24,2020-05-05,2020,4
C054,C,97188.32,2021-04-23,17500,865000,2.45,44,2021-06-06,2021,4
C074,C,206749.88,2020-07-22,14000,715000,2.45,68,2020-09-28,2020,7
C024,B,40949.67,2021-04-03,17500,865000,2.45,29,2021-05-02,2021,4
C001,B,120057.85,2020-07-14,14000,715000,2.45,35,2020-08-18,2020,7
C042,B,163118.55,2020-09-23,15000,725000,2.45,29,2020-10-22,2020,9
C002,C,185235.87,2021-01-14,13000,820000,2.45,67,2021-03-22,2021,1
C019,B,48011.52,2020-03-05,12000,700000,3.325,43,2020-04-17,2020,3
C019,B,80607.68,2022-02-27,15000,945000,2.45,38,2022-04-06,2022,2
C016,A,40387.55,2020-11-06,14200,735000,2.45,23,2020-11-29,2020,11
C047,B,36812.25,2022-02-23,15000,945000,2.45,36,2022-03-31,2022,2
C055,B,79667.0,2020-04-14,6500,695000,2.45,62,2020-06-15,2020,4
C037,B,58789.61,2022-08-10,11500,920000,4.7,66,2022-10-15,2022,8
C006,A,75991.66,2022-04-05,14500,955000,2.95,26,2022-05-01,2022,4
C044,C,34060.75,2021-07-11,16500,895000,2.45,63,2021-09-12,2021,7
C014,A,127724.51,2022-11-22,10500,890000,5.95,30,2022-12-22,2022,11
C038,A,26298.16,2022-06-21,12500,945000,3.6,29,2022-07-20,2022,6
C058,A,66523.18,2022-08-05,11500,920000,4.7,28,2022-09-02,2022,8
C012,C,46911.66,2020-02-04,11500,690000,3.95,37,2020-03-12,2020,2
C079,B,55735.76,2021-06-03,17800,890000,2.45,38,2021-07-11,2021,6
C042,B,19328.4,2022-05-08,13500,950000,3.2,42,2022-06-19,2022,5
C031,B,57484.06,2020-05-14,9000,705000,2.45,44,2020-06-27,2020,5
C062,A,63232.87,2020-01-20,11000,680000,3.95,42,2020-03-02,2020,1
C016,A,31832.91,2022-04-25,14500,955000,2.95,28,2022-05-23,2022,4
C035,C,57574.29,2021-08-10,16000,900000,2.45,46,2021-09-25,2021,8
C068,C,71388.42,2021-09-18,15800,905000,2.45,58,2021-11-15,2021,9
C012,C,85087.41,2021-05-07,18000,880000,2.45,54,2021-06-30,2021,5
C032,A,29256.28,2021-02-11,14500,835000,2.45,15,2021-02-26,2021,2
C007,A,75711.35,2021-05-02,18000,880000,2.45,27,2021-05-29,2021,5
C021,B,72487.19,2021-10-17,15500,910000,2.45,48,2021-12-04,2021,10
C027,A,33934.65,2020-11-18,14200,735000,2.45,15,2020-12-03,2020,11
C077,B,22506.97,2020-05-26,9000,705000,2.45,36,2020-07-01,2020,5
C031,B,62232.26,2022-01-07,14000,930000,2.45,16,2022-01-23,2022,1
C005,A,21769.0,2022-12-25,10000,880000,6.325,41,2023-02-04,2022,12
C053,C,53023.75,2020-11-27,14200,735000,2.45,46,2021-01-12,2020,11
C069,A,21823.47,2021-02-24,14500,835000,2.45,20,2021-03-16,2021,2
C065,A,69139.68,2021-10-09,15500,910000,2.45,22,2021-10-31,2021,10
C069,A,68225.3,2022-01-24,14000,930000,2.45,23,2022-02-16,2022,1
C036,C,37956.2,2022-04-21,14500,955000,2.95,67,2022-06-27,2022,4
C016,A,67765.02,2022-07-23,12000,930000,4.2,34,2022-08-26,2022,7
C013,C,73542.04,2021-01-05,13000,820000,2.45,65,2021-03-11,2021,1
C076,B,123274.85,2021-11-08,14500,915000,2.45,20,2021-11-28,2021,11
C016,A,41023.55,2020-07-08,14000,715000,2.45,25,2020-08-02,2020,7
C034,C,43462.05,2020-10-11,14800,730000,2.45,79,2020-12-29,2020,10
C071,B,76261.28,2020-07-04,14000,715000,2.45,37,2020-08-10,2020,7
C040,B,57946.36,2020-07-10,14000,715000,2.45,49,2020-08-28,2020,7
C046,B,64784.26,2021-06-08,17800,890000,2.45,39,2021-07-17,2021,6
C069,A,58247.21,2021-12-16,13800,920000,2.45,31,2022-01-16,2021,12
C005,A,53948.98,2021-01-04,13000,820000,2.45,24,2021-01-28,2021,1
C013,C,74633.95,2021-04-07,17500,865000,2.45,54,2021-05-31,2021,4
C015,A,54593.26,2022-06-24,12500,945000,3.6,29,2022-07-23,2022,6
C075,B,23080.04,2021-01-12,13000,820000,2.45,34,2021-02-15,2021,1
C011,A,36613.6,2021-12-10,13800,920000,2.45,31,2022-01-10,2021,12
C052,B,56730.51,2021-04-21,17500,865000,2.45,38,2021-05-29,2021,4
C071,B,74999.89,2021-11-25,14500,915000,2.45,25,2021-12-20,2021,11
C025,B,80238.66,2022-04-17,14500,955000,2.95,22,2022-05-09,2022,4
C027,A,50230.13,2021-05-20,18000,880000,2.45,29,2021-06-18,2021,5
C022,A,66301.79,2021-01-12,13000,820000,2.45,20,2021-02-01,2021,1
C070,C,123185.05,2020-11-03,14200,735000,2.45,74,2021-01-16,2020,11
C037,B,171665.96,2022-12-06,10000,880000,6.325,45,2023-01-20,2022,12
C016,A,56859.27,2022-03-08,15500,960000,2.65,19,2022-03-27,2022,3
C044,C,79481.05,2020-11-17,14200,735000,2.45,47,2021-01-03,2020,11
C080,A,28354.76,2021-12-06,13800,920000,2.45,31,2022-01-06,2021,12
C028,B,42220.09,2020-07-06,14000,715000,2.45,37,2020-08-12,2020,7
C011,A,52140.8,2021-04-09,17500,865000,2.45,23,2021-05-02,2021,4
C044,C,275025.45,2021-02-14,14500,835000,2.45,64,2021-04-19,2021,2
C053,C,157594.01,2022-06-10,12500,945000,3.6,43,2022-07-23,2022,6
C052,B,64569.53,2020-07-14,14000,715000,2.45,44,2020-08-27,2020,7
C048,B,57283.5,2022-11-21,10500,890000,5.95,64,2023-01-24,2022,11
C026,B,88600.12,2022-07-11,12000,930000,4.2,53,2022-09-02,2022,7
C050,A,60057.26,2022-07-14,12000,930000,4.2,31,2022-08-14,2022,7
C044,C,100553.96,2022-05-17,13500,950000,3.2,35,2022-06-21,2022,5
C043,A,44298.41,2020-09-24,15000,725000,2.45,25,2020-10-19,2020,9
C042,B,68020.82,2021-11-07,14500,915000,2.45,29,2021-12-06,2021,11
C014,A,37870.85,2020-08-06,14500,720000,2.45,21,2020-08-27,2020,8
C043,A,45155.67,2022-10-15,10800,900000,5.45,31,2022-11-15,2022,10
C003,B,22274.51,2022-07-24,12000,930000,4.2,49,2022-09-11,2022,7
C072,A,19500.37,2020-04-15,6500,695000,2.45,21,2020-05-06,2020,4
C029,B,49791.44,2021-11-05,14500,915000,2.45,46,2021-12-21,2021,11
C034,C,64068.71,2020-02-08,11500,690000,3.95,65,2020-04-13,2020,2
C050,A,51257.41,2020-10-01,14800,730000,2.45,21,2020-10-22,2020,10
C039,B,178935.57,2021-01-01,13000,820000,2.45,42,2021-02-12,2021,1
C066,B,68296.01,2021-06-24,17800,890000,2.45,48,2021-08-11,2021,6
C032,A,47261.85,2022-06-12,12500,945000,3.6,29,2022-07-11,2022,6
C019,B,27248.68,2022-04-16,14500,955000,2.95,53,2022-06-08,2022,4
C061,B,72797.53,2022-12-03,10000,880000,6.325,72,2023-02-13,2022,12
C066,B,48731.92,2022-08-16,11500,920000,4.7,57,2022-10-12,2022,8
C020,A,30794.21,2020-03-23,12000,700000,3.325,29,2020-04-21,2020,3
C027,A,43648.74,2020-03-26,12000,700000,3.325,23,2020-04-18,2020,3
C009,B,68881.36,2022-05-21,13500,950000,3.2,53,2022-07-13,2022,5
C040,B,32040.72,2020-06-02,13000,710000,2.45,45,2020-07-17,2020,6
C009,B,61772.64,2021-10-22,15500,910000,2.45,40,2021-12-01,2021,10
C078,A,55092.41,2020-02-28,11500,690000,3.95,30,2020-03-29,2020,2
C009,B,51659.2,2022-06-25,12500,945000,3.6,39,2022-08-03,2022,6
C009,B,67273.19,2022-06-02,12500,945000,3.6,30,2022-07-02,2022,6
C048,B,195037.15,2021-08-20,16000,900000,2.45,37,2021-09-26,2021,8
C080,A,75404.53,2022-01-14,14000,930000,2.45,31,2022-02-14,2022,1
C025,B,35718.78,2020-02-17,11500,690000,3.95,48,2020-04-05,2020,2
C043,A,44152.3,2022-08-21,11500,920000,4.7,29,2022-09-19,2022,8
C031,B,51499.03,2022-11-17,10500,890000,5.95,42,2022-12-29,2022,11
C052,B,61936.67,2021-06-24,17800,890000,2.45,40,2021-08-03,2021,6
C001,B,50216.03,2020-10-12,14800,730000,2.45,41,2020-11-22,2020,10
C042,B,51141.98,2022-07-08,12000,930000,4.2,47,2022-08-24,2022,7
C004,B,103097.64,2021-01-19,13000,820000,2.45,23,2021-02-11,2021,1
C078,A,36222.95,2022-06-09,12500,945000,3.6,30,2022-07-09,2022,6
C001,B,81623.35,2022-07-17,12000,930000,4.2,42,2022-08-28,2022,7
C014,A,18615.24,2020-05-11,9000,705000,2.45,30,2020-06-10,2020,5
C042,B,191192.21,2020-10-14,14800,730000,2.45,37,2020-11-20,2020,10
C077,B,45194.2,2022-09-11,11000,910000,5.2625,48,2022-10-29,2022,9
C076,B,51853.68,2020-04-05,6500,695000,2.45,38,2020-05-13,2020,4
C002,C,88984.05,2021-07-26,16500,895000,2.45,69,2021-10-03,2021,7
C038,A,41598.44,2020-08-02,14500,720000,2.45,16,2020-08-18,2020,8
C049,B,52197.91,2021-12-27,13800,920000,2.45,48,2022-02-13,2021,12
C030,A,42932.67,2020-03-10,12000,700000,3.325,26,2020-04-05,2020,3
C010,B,41718.57,2020-07-25,14000,715000,2.45,41,2020-09-04,2020,7
C037,B,35635.67,2021-02-28,14500,835000,2.45,52,2021-04-21,2021,2
C029,B,68427.23,2022-12-02,10000,880000,6.325,66,2023-02-06,2022,12
C069,A,43066.97,2020-07-25,14000,715000,2.45,21,2020-08-15,2020,7
C022,A,45496.37,2021-08-04,16000,900000,2.45,16,2021-08-20,2021,8
C075,B,62105.99,2022-12-15,10000,880000,6.325,72,2023-02-25,2022,12
C045,A,75432.47,2020-12-21,13500,740000,2.45,30,2021-01-20,2020,12
C074,C,59169.76,2022-10-15,10800,900000,5.45,74,2022-12-28,2022,10
C064,B,57038.78,2020-03-09,12000,700000,3.325,41,2020-04-19,2020,3
C009,B,38481.98,2022-10-23,10800,900000,5.45,48,2022-12-10,2022,10
C009,B,34004.47,2022-08-12,11500,920000,4.7,47,2022-09-28,2022,8
C070,C,33316.77,2021-04-12,17500,865000,2.45,71,2021-06-22,2021,4
C026,B,75039.79,2021-06-01,17800,890000,2.45,39,2021-07-10,2021,6
C029,B,40179.2,2022-10-12,10800,900000,5.45,63,2022-12-14,2022,10
C040,B,35104.65,2022-03-22,15500,960000,2.65,33,2022-04-24,2022,3
C012,C,82900.07,2021-09-15,15800,905000,2.45,38,2021-10-23,2021,9
C006,A,63975.85,2020-11-14,14200,735000,2.45,11,2020-11-25,2020,11
C011,A,39388.24,2020-09-05,15000,725000,2.45,17,2020-09-22,2020,9
C066,B,52764.31,2021-04-03,17500,865000,2.45,24,2021-04-27,2021,4
C024,B,136972.32,2021-01-09,13000,820000,2.45,36,2021-02-14,2021,1
C034,C,98102.44,2021-12-03,13800,920000,2.45,64,2022-02-05,2021,12
C010,B,47988.61,2020-07-23,14000,715000,2.45,58,2020-09-19,2020,7
C044,C,106801.12,2020-09-15,15000,725000,2.45,42,2020-10-27,2020,9
C066,B,137237.1,2020-07-27,14000,715000,2.45,24,2020-08-20,2020,7
C043,A,48141.19,2021-02-25,14500,835000,2.45,16,2021-03-13,2021,2
C042,B,53517.23,2021-05-27,18000,880000,2.45,46,2021-07-12,2021,5
C058,A,27215.73,2020-10-02,14800,730000,2.45,15,2020-10-17,2020,10
C075,B,58925.73,2021-07-24,16500,895000,2.45,51,2021-09-13,2021,7
C074,C,63588.1,2020-10-05,14800,730000,2.45,54,2020-11-28,2020,10
C006,A,82264.59,2020-05-24,9000,705000,2.45,22,2020-06-15,2020,5
C062,A,134192.04,2022-12-25,10000,880000,6.325,41,2023-02-04,2022,12
C080,A,55611.59,2021-03-16,17000,850000,2.45,23,2021-04-08,2021,3
C012,C,67028.44,2020-01-28,11000,680000,3.95,88,2020-04-25,2020,1
C069,A,54690.48,2020-12-25,13500,740000,2.45,26,2021-01-20,2020,12
C043,A,57754.79,2020-09-22,15000,725000,2.45,17,2020-10-09,2020,9
